Algo,GraphSize,PQType,Result_ms
AStar,26,LL,0.08559998241253197
Prims,26,BMH,0.617199984844774
Prims,26,LL,0.30270000570453703
AStar,27,BMH,0.10070001007989049
AStar,27,LL,0.08840000373311341
Prims,27,BMH,0.6351000047288835
Prims,27,LL,0.31400000443682075
AStar,28,BMH,0.10359997395426035
AStar,28,LL,0.09109999518841505
Prims,28,BMH,0.6370999908540398
Prims,28,LL,0.36199999158270657
AStar,29,BMH,0.10699999984353781
AStar,29,LL,0.09339998359791934
Prims,29,BMH,0.894299999345094
Prims,29,LL,0.35890002618543804
AStar,30,BMH,0.1269000058528036
AStar,30,LL,0.11369999265298247
Prims,30,BMH,0.743500015232712
Prims,30,LL,0.38240000139921904
AStar,31,BMH,0.1128000149037689
AStar,31,LL,0.0990999978967011
Prims,31,BMH,0.7729000062681735
Prims,31,LL,0.39840000681579113
AStar,32,BMH,0.2537999826017767
AStar,32,LL,0.2776999899651855
Prims,32,BMH,0.909099995624274
Prims,32,LL,0.458399998024106
AStar,33,BMH,0.21190001280047
AStar,33,LL,0.16300001880154014
Prims,33,BMH,0.8302000060211867
Prims,33,LL,0.4311000229790807
AStar,34,BMH,0.12000001152046025
AStar,34,LL,0.10610002209432423
Prims,34,BMH,0.8694999851286411
Prims,34,LL,0.46740000834688544
AStar,35,BMH,0.12139999307692051
AStar,35,LL,0.10949998977594078
Prims,35,BMH,0.904799991985783
Prims,35,LL,0.5492000200320035
AStar,36,BMH,0.12399998377077281
AStar,36,LL,0.1315999834332615
Prims,36,BMH,0.9048000210896134
Prims,36,LL,0.5438000080175698
AStar,37,BMH,0.10430000838823617
AStar,37,LL,0.0942000187933445
Prims,37,BMH,0.9807000169530511
Prims,37,LL,0.5423999973572791
AStar,38,BMH,0.15319997328333557
AStar,38,LL,0.13890000991523266
Prims,38,BMH,1.1201000015717
Prims,38,LL,0.7516999903600663
AStar,39,BMH,0.13460000627674162
AStar,39,LL,0.12010001228190958
Prims,39,BMH,1.06969999615103
Prims,39,LL,0.6233000021893531
AStar,40,BMH,0.43009998626075685
AStar,40,LL,0.3792000061366707
Prims,40,BMH,1.1138999834656715
Prims,40,LL,0.6604999944102019
AStar,41,BMH,0.13810000382363796
AStar,41,LL,0.12489999062381685
Prims,41,BMH,1.1411000159569085
Prims,41,LL,0.8564000017940998
AStar,42,BMH,0.1432000135537237
AStar,42,LL,0.1632000203244388
Prims,42,BMH,1.1674999841488898
Prims,42,LL,0.6594999867957085
AStar,43,BMH,0.14259997988119721
AStar,43,LL,0.12969999806955457
Prims,43,BMH,1.2346000003162771
Prims,43,LL,0.6993000279180706
AStar,44,BMH,0.15040001017041504
AStar,44,LL,0.1713000237941742
Prims,44,BMH,1.240199984749779
Prims,44,LL,0.7516999903600663
AStar,45,BMH,0.14960000407882035
AStar,45,LL,0.33680000342428684
Prims,45,BMH,1.3044000079389662
Prims,45,LL,0.7977999921422452
AStar,46,BMH,0.12429998605512083
AStar,46,LL,0.1475999888498336
Prims,46,BMH,1.3330000219866633
Prims,46,LL,0.840199994854629
AStar,47,BMH,0.3735999925993383
AStar,47,LL,0.35609997576102614
Prims,47,BMH,1.4012999890837818
Prims,47,LL,0.899200007552281
AStar,48,BMH,0.507200020365417
AStar,48,LL,0.4485999816097319
Prims,48,BMH,1.5110999811440706
Prims,48,LL,0.8600000001024455
AStar,49,BMH,0.15770000754855573
AStar,49,LL,0.18140001338906586
Prims,49,BMH,1.4475000207312405
Prims,49,LL,0.8818999922368675
AStar,50,BMH,0.3335000074002892
AStar,50,LL,0.2837000065483153
Prims,50,BMH,3.417500003706664
Prims,50,LL,3.603999997721985
AStar,51,BMH,0.3387999895494431
AStar,51,LL,0.291000003926456
Prims,51,BMH,3.4576999896671623
Prims,51,LL,3.999600012321025
AStar,52,BMH,0.36460001138038933
AStar,52,LL,0.4112999886274338
Prims,52,BMH,3.836599993519485
Prims,52,LL,4.577799991238862
AStar,53,BMH,0.41130001773126423
AStar,53,LL,0.35429999115876853
Prims,53,BMH,3.746299975318834
Prims,53,LL,4.124500002944842
AStar,54,BMH,0.3479000006336719
AStar,54,LL,0.525799987372011
