Algo,GraphSize,PQType,Result_ms
AStar,Small,BMH,0.014409600000362843
AStar,Small,LL,0.01193429995328188
AStar,Big,BMH,3.446019899798557
AStar,Big,LL,4.003749100025743
Prims,Small,BMH,0.052067001175601035
Prims,Small,LL,0.023143399914260954
Prims,Big,BMH,6.476479900069535
Prims,Big,LL,9.643375600455329
